# NanoFASE model output data - WATER.
# see summary.md for model run metadata.
# Columns:
#	t: timestep index
#	datetime: datetime of this timestep
#	x, y: grid cell (eastings and northings) index
#	easts, norths: eastings and northings at the centre of this grid cell (m)
#	w: waterbody index within this grid cell
#	waterbody_type: what type (river, estuary etc) is this waterbody?
#	m_np(kg), m_transformed(kg), m_dissolved(kg): NM mass (untransformed, transformed and dissolved, kg)
#	C_np(kg/m3), C_transformed(kg/m3), C_dissolved(kg/m3): NM concentration (kg/m3)
#	m_np_outflow(kg), m_transformed_outflow(kg), m_dissolved_outflow(kg): downstream outflow NM masses (kg)
#	m_np_deposited(kg), m_transformed_deposited(kg): mass of NM deposited (kg)
#	m_spm(kg), C_spm(kg/m3): mass and concentration of SPM (kg, kg/m3)
#	volume(m3), depth(m), flow(m3/s): volume (m3), depth (m) and flow rate (m3/s) of this waterbody
t,datetime,x,y,easts,norths,w,waterbody_type,m_np(kg),C_np(kg/m3),m_transformed(kg),C_transformed(kg/m3),m_dissolved(kg),C_dissolved(kg/m3),m_np_deposited(kg),m_transformed_deposited(kg),m_np_outflow(kg),m_transformed_outflow(kg),m_dissolved_outflow(kg),m_spm(kg),C_spm(kg/m3),volume(m3),depth(m),flow(m3/s)
 1,2015-01-01T00:00:00.000,13,5,452500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.88522009465718243,6.7949349519420322E-004,1302.7646341252780,1.6043711385856627,-9.2929381194321814E-002
 1,2015-01-01T00:00:00.000,5,6,412500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.7412636450277625,9.5951913299589992E-004,1814.7252984846975,1.6006947551439408,-9.0812641752159431E-002
 1,2015-01-01T00:00:00.000,6,6,417500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.1802712321829716,7.0070127561008377E-004,1684.4142764765738,1.6694105945746296,-0.13724517581673959
 1,2015-01-01T00:00:00.000,7,6,422500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4.9247038144128554,1.3608651448549368E-003,3618.8036948641311,1.7869968333613415,-0.25731211887129274
 1,2015-01-01T00:00:00.000,9,6,432500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.5947585353394964,1.0011951202315934E-003,2591.6611886195419,1.6918857299910295,-0.15588520235959788
 1,2015-01-01T00:00:00.000,10,6,437500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.0540461918076307,6.9249364989350877E-004,1522.1023210389312,1.6431579586458820,-0.11772052251520410
 1,2015-01-01T00:00:00.000,11,6,442500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8.6594597639836177,1.7489406928408399E-003,4951.2598108274788,1.7771118787114670,-0.24490436266609728
 1,2015-01-01T00:00:00.000,12,6,447500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,35.420579443620106,2.9769630175922766E-003,11898.226223941387,2.0362960384854061,-0.75762605539003525
 1,2015-01-01T00:00:00.000,12,6,447500.000,232500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,97.675936619907660,4.3315511939416452E-003,22549.874686122334,2.3669335045572932,-2.2265203875172630
 1,2015-01-01T00:00:00.000,12,6,447500.000,232500.000,3,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8.9473953387928749,1.9912689417111436E-003,4493.3133598237982,1.8544080820933480,-0.35510169659068608
