# NanoFASE model output data - SEDIMENT.
# See summary.md for model run metadata.
#	x, y: grid cell (eastings and northings) index
#	easts, norths: eastings and northings at the centre of this grid cell (m)
#	w: waterbody index within this grid cell
#	waterbody_type: what type (river, estuary etc) of waterbody is this sediment in?
#	m_np_total(kg), C_np_total(kg/m3), C_np_total(kg/kg): NM mass (kg) and concentration (kg/m3 and kg/kg dry weight) for all layers
#	m_np_buried(kg): NM mass buried on this timestep (kg)
#	bed_area(m2): area of this bed sediment (m2)
#	sediment_mass(kg): total mass of fine sediment in this bed sediment (kg, *not* kg/m2)
t,datetime,x,y,easts,norths,w,waterbody_type,m_np_total(kg),C_np_total(kg/m3),C_np_total(kg/kg),m_np_buried(kg),bed_area(m2),sediment_mass(kg)
1,2015-01-01T00:00:00.000,19,8,482500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1233.7085464857855,4925.9318473332551
1,2015-01-01T00:00:00.000,23,8,502500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,636.27205815328239,2541.6795542849245
1,2015-01-01T00:00:00.000,24,8,507500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1795.0455893770668,7168.2119745472619
1,2015-01-01T00:00:00.000,24,8,507500.000,222500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2040.8802707422903,8148.1604847371636
1,2015-01-01T00:00:00.000,25,8,512500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,731.51972996914787,2921.6070578569711
1,2015-01-01T00:00:00.000,26,8,517500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2029.8439538843033,8104.1726893715140
1,2015-01-01T00:00:00.000,26,8,517500.000,222500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1495.9622545715895,5970.9286432603740
1,2015-01-01T00:00:00.000,28,8,527500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2965.4001214260766,11829.936670089568
1,2015-01-01T00:00:00.000,29,8,532500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,755.82985283766345,3018.5539648067625
1,2015-01-01T00:00:00.000,30,8,537500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3524.0478808335761,14047.167621931145
1,2015-01-01T00:00:00.000,31,8,542500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2587.6059995419155,10323.424835693757
1,2015-01-01T00:00:00.000,32,8,547500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2728.6309354814443,10873.306933676758
1,2015-01-01T00:00:00.000,33,8,552500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1671.7178605438019,6664.7807776881700
1,2015-01-01T00:00:00.000,34,8,557500.000,222500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,845.57854450058881,3376.3907187598884
1,2015-01-01T00:00:00.000,2,9,397500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1156.4881543961833,4615.0785842316427
1,2015-01-01T00:00:00.000,3,9,402500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3045.2481035716683,12147.620903492863
1,2015-01-01T00:00:00.000,4,9,407500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2063.3620117337828,8229.3546054757917
1,2015-01-01T00:00:00.000,5,9,412500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4240.7605458538665,16899.838046792971
1,2015-01-01T00:00:00.000,6,9,417500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4319.3888930622024,17212.088207218687
1,2015-01-01T00:00:00.000,6,9,417500.000,217500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5868.5960077000555,23348.509041817611
1,2015-01-01T00:00:00.000,7,9,422500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1026.4074374062884,4097.0024586605405
1,2015-01-01T00:00:00.000,8,9,427500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,6587.4856099569679,26149.743881084873
1,2015-01-01T00:00:00.000,9,9,432500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,6708.4629610901047,26627.579560427930
1,2015-01-01T00:00:00.000,10,9,437500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,14047.088306496773,55741.985258134962
1,2015-01-01T00:00:00.000,11,9,442500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4297.4598098280912,17118.030550487758
1,2015-01-01T00:00:00.000,12,9,447500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,14511.330505407130,57483.584120175314
1,2015-01-01T00:00:00.000,13,9,452500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2461.6699756565195,9822.1323347460839
1,2015-01-01T00:00:00.000,14,9,457500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2620.3274757501040,10456.377988455777
1,2015-01-01T00:00:00.000,14,9,457500.000,217500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5954.0132772277020,23697.638724653847
1,2015-01-01T00:00:00.000,15,9,462500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3462.9413427919726,13787.176577529832
1,2015-01-01T00:00:00.000,16,9,467500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2119.2097528717891,8451.4731160654756
1,2015-01-01T00:00:00.000,17,9,472500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1005.6126321487857,4014.1592012502178
1,2015-01-01T00:00:00.000,18,9,477500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2931.4344202488846,11694.758914325235
1,2015-01-01T00:00:00.000,19,9,482500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3635.0013485819513,14493.138161902762
1,2015-01-01T00:00:00.000,20,9,487500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2983.6672996111333,11902.606703087002
1,2015-01-01T00:00:00.000,23,9,502500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1109.6517717725244,4431.3625306918511
1,2015-01-01T00:00:00.000,24,9,507500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,766.66271812376192,3061.7516879895393
1,2015-01-01T00:00:00.000,25,9,512500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4354.9295965569509,17366.311548369104
1,2015-01-01T00:00:00.000,26,9,517500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2387.8193119302673,9519.3698056231842
1,2015-01-01T00:00:00.000,27,9,522500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4234.3092706057269,16874.315607510969
1,2015-01-01T00:00:00.000,27,9,522500.000,217500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1180.5564390625098,4710.9224098790555
1,2015-01-01T00:00:00.000,28,9,527500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,859.24725759716603,3430.8780413678101
