# NanoFASE model output data - SEDIMENT.
# See summary.md for model run metadata.
#\tx, y: grid cell (eastings and northings) index
#\teasts, norths: eastings and northings at the centre of this grid cell (m)
#\twaterbody_type: what is the dominant waterbody type in this cell?
#\tm_np_total(kg), C_np_total(kg/m3), C_np_total(kg/kg): NM mass (kg) and concentration (kg/m3 and kg/kg dry weight) for all layers
#\tC_np_li(kg/m3), C_np_li(kg/kg): NM conc for layer i (kg/m3 and kg/kg)
#\tm_np_buried(kg): NM mass buried on this timestep (kg)
#\tbed_area(m2): area of this bed sediment (m2)
#\tsediment_mass(kg): total mass of fine sediment in this bed sediment (kg, *not* kg/m2)
#\tsediment_density(kg): average density of the sediment (kg/m3)
t,datetime,x,y,easts,norths,waterbody_type,m_np_total(kg),C_np_total(kg/m3),C_np_total(kg/kg),C_np_l1(kg/m3),C_np_l1(kg/kg),C_np_l2(kg/m3),C_np_l2(kg/kg),C_np_l3(kg/m3),C_np_l3(kg/kg),C_np_l4(kg/m3),C_np_l4(kg/kg),m_np_buried(kg),bed_area(m2),sediment_mass(kg),sediment_density(kg/m3)
2,2015-01-02T00:00:00.000,2,3,457500.000,202500.000,riv,5.9330420067216734,6.4549990583971442E-002,6.5837765336759855E-004,6.3284086095667949E-002,6.3284086095667949E-002,6.4758440306863313E-002,6.4758440306863313E-002,6.6231386012984256E-002,6.6231386012984256E-002,6.3926049920370293E-002,6.3926049920370293E-002,0.50297360788249834,2297.8477942678219,9011.6090307351587,98.044018131232988
2,2015-01-02T00:00:00.000,3,3,462500.000,202500.000,riv,23.615314432303620,4.0849983893117031E-002,4.1593711091972210E-004,4.0029352465480089E-002,4.0029352465480089E-002,4.0604506284250282E-002,4.0604506284250268E-002,4.1398984680144066E-002,4.1398984680144066E-002,4.1367092142593723E-002,4.1332284732101460E-002,3.8011123673905551,14452.462834462753,56776.165945100031,98.211923919915108
2,2015-01-02T00:00:00.000,4,3,467500.000,202500.000,riv,6.8828136039850953,8.1587267674079672E-002,8.3210941548339426E-004,8.9796048653457708E-002,8.9796048653457708E-002,9.0535008242511442E-002,9.0535008242511442E-002,8.2732971849074799E-002,8.2732971849074799E-002,6.3285041951274754E-002,6.3285041951274754E-002,0.30377285145330396,2109.0342752140741,8271.5247248905234,98.048725511276061
3,2015-01-03T00:00:00.000,1,1,452500.000,212500.000,riv,10.715036837381483,5.9896358189323637E-002,6.1034561559519514E-004,6.0887127356735786E-002,6.0887127356735786E-002,6.0439458742230105E-002,6.0439458742230105E-002,5.9507764056857100E-002,5.9507764056857100E-002,5.8751082601471528E-002,5.8751082601471528E-002,1.0584869927662393,4472.3241115146584,17555.687406605553,98.135149428269543
3,2015-01-03T00:00:00.000,2,1,457500.000,212500.000,riv,6.2932721743909878,6.7331698876573295E-002,6.8669207825003138E-004,6.8395491620015625E-002,6.8395491620015625E-002,6.7783221633746879E-002,6.7783221633746879E-002,6.6879313747307406E-002,6.6879313747307406E-002,6.6268768505223286E-002,6.6268768505223286E-002,0.44929263344356801,2336.6677285957362,9164.6203206956834,98.052243515261836
3,2015-01-03T00:00:00.000,3,1,462500.000,212500.000,riv,10.123712093924041,7.6298898726544578E-002,7.7772194409146407E-004,7.5702382386843819E-002,7.5702382386843819E-002,7.5834688410186188E-002,7.5834688410186188E-002,7.6413075187014276E-002,7.6413075187014276E-002,7.7245448922134002E-002,7.7245448922134002E-002,0.96169903510861432,3317.1226876059027,13017.135713909396,98.105626703997771
3,2015-01-03T00:00:00.000,1,2,452500.000,207500.000,riv,10.184471748820940,3.1929291089284197E-002,3.2510832113417910E-004,3.1871783119060915E-002,3.1871783119060915E-002,3.1871638910078756E-002,3.1871638910078756E-002,3.1869401260325989E-002,3.1869401260325989E-002,3.2104341067671134E-002,3.2104341067671134E-002,2.2398058521593991,7974.2390364874409,31326.395194349989,98.211239189126474
3,2015-01-03T00:00:00.000,2,2,457500.000,207500.000,riv,6.8484648736958782,4.9735295238965235E-002,5.0711684050176124E-004,4.9856906446787169E-002,4.9856906446787169E-002,4.9785576633622305E-002,4.9785576633622305E-002,4.9641271884288178E-002,4.9641271884288178E-002,4.9657425991163288E-002,4.9657425991163288E-002,0.56580409330830717,3442.4572096465376,13504.708041089185,98.074627515337838
3,2015-01-03T00:00:00.000,3,2,462500.000,207500.000,riv,23.825715789006971,6.4541785002882324E-002,6.5750522496464355E-004,6.3927030019181375E-002,6.3927030019181375E-002,6.4295139403062210E-002,6.4295139403062224E-002,6.4854098378280503E-002,6.4854098378280503E-002,6.5090872211005291E-002,6.5084140540010965E-002,2.2867090636803993,9228.7950823211686,36236.542135901909,98.161630588339420
3,2015-01-03T00:00:00.000,4,2,467500.000,207500.000,riv,6.7756080916304917,9.3000032881400838E-002,9.4833099832309601E-004,9.2273936107056129E-002,9.2273936107056129E-002,9.4038977787619535E-002,9.4038977787619535E-002,9.4866448079937979E-002,9.4866448079937979E-002,9.0820769550989722E-002,9.0820769550989722E-002,0.44276586122595663,1821.3994213630533,7144.7712914705789,98.067059967300324
3,2015-01-03T00:00:00.000,1,3,452500.000,202500.000,riv,20.028758551983458,3.8679465912140019E-002,3.9370349236104589E-004,3.8565885148486578E-002,3.8565885148486571E-002,3.8569552454417975E-002,3.8569552454417969E-002,3.8590083538895849E-002,3.8590083538895842E-002,3.8992342506759710E-002,3.8958018951937776E-002,3.5110177135900567,12945.343561074633,50872.697196234352,98.245168413870729
3,2015-01-03T00:00:00.000,2,3,457500.000,202500.000,riv,5.8781811697459858,6.2417272106347940E-002,6.3666383874319728E-004,6.1836661884002948E-002,6.1836661884002948E-002,6.2012781030051249E-002,6.2012781030051249E-002,6.2493686458893360E-002,6.2493686458893360E-002,6.3325959052444203E-002,6.3325959052444203E-002,0.48278696050718006,2354.3888986041393,9232.7863026582072,98.038035628915907
3,2015-01-03T00:00:00.000,3,3,462500.000,202500.000,riv,23.291266171773291,3.9988226584669918E-002,4.0715319810434689E-004,3.9641320778304526E-002,3.9641320778304526E-002,3.9725637649513590E-002,3.9725637649513583E-002,3.9962759594581385E-002,3.9962759594581378E-002,4.0623188316280173E-002,4.0583537012631780E-002,3.6461586195791806,14561.327596672369,57205.165721930804,98.214202346561379
3,2015-01-03T00:00:00.000,4,3,467500.000,202500.000,riv,7.6507529897205266,8.5792845654708044E-002,8.7499172295806189E-004,8.4599096584076036E-002,8.4599096584076036E-002,8.5791990245474931E-002,8.5791990245474931E-002,8.7039394944553122E-002,8.7039394944553122E-002,8.5740900844728143E-002,8.5740900844728143E-002,0.49836934973658309,2229.4263298831188,8743.8004143122907,98.049893963191323
4,2015-01-04T00:00:00.000,1,1,452500.000,212500.000,riv,8.7759188070933529,7.9533259839848908E-002,8.1013611054869003E-004,9.5299888182095477E-002,9.5299888182095477E-002,8.5489062969977048E-002,8.5489062969977062E-002,7.2934423980135929E-002,7.2934423980135929E-002,6.4409664227187233E-002,6.4409664227187233E-002,0.57367087777143722,2758.5688744941231,10832.647369772945,98.172712960520343
4,2015-01-04T00:00:00.000,2,1,457500.000,212500.000,riv,4.9658735107812246,8.6408367432240799E-002,8.8106043847620697E-004,0.10341655247129489,0.10341655247129489,9.1926486253510700E-002,9.1926486253510700E-002,7.9155449468405872E-002,7.9155449468405872E-002,7.1134981535751762E-002,7.1134981535751762E-002,0.26628920010284429,1436.7455864940566,5636.2461573801875,98.073144200736067
4,2015-01-04T00:00:00.000,3,1,462500.000,212500.000,riv,6.5898078336612933,9.9930064513669772E-002,1.0183357857951271E-003,0.13140674408223010,0.13140674408223010,0.10503693431207413,0.10503693431207413,8.5132586242754424E-002,8.5132586242754424E-002,7.8143993417620378E-002,7.8143993417620378E-002,0.34896224424711542,1648.6049551317806,6471.1541375479637,98.130759919866065
4,2015-01-04T00:00:00.000,1,2,452500.000,207500.000,riv,9.8155378905779287,5.0491372991014326E-002,5.1363577440123186E-004,5.3029452823336612E-002,5.3029452823336612E-002,5.2661961926846038E-002,5.2661961926846038E-002,5.0650895469146952E-002,5.0650895469146952E-002,4.5623181744727723E-002,4.5623181744727709E-002,1.3890775551775065,4860.0075262951941,19109.918700698636,98.301900894411745
4,2015-01-04T00:00:00.000,2,2,457500.000,207500.000,riv,5.3665000618852510,7.2026268791839279E-002,7.3412572038359801E-004,8.7838974278019330E-002,8.7838974278019330E-002,7.8304008189741259E-002,7.8304008189741259E-002,6.5659548529231504E-002,6.5659548529231504E-002,5.6302544170364968E-002,5.6302544170364968E-002,0.27538872499978939,1862.6885273432049,7310.0559112424617,98.111626921617528
4,2015-01-04T00:00:00.000,3,2,462500.000,207500.000,riv,19.095119307508178,8.4903281432620437E-002,8.6463731195111199E-004,0.10112061868209291,0.10112061868209291,9.0073481049073020E-002,9.0073481049072993E-002,7.7752201560862960E-002,7.7752201560862932E-002,7.0666824438452888E-002,7.0659827967625211E-002,1.1186149444861870,5622.6094598803347,22084.542320315508,98.195255119201931
4,2015-01-04T00:00:00.000,4,2,467500.000,207500.000,riv,6.2144761213212742,9.9010270113172608E-002,1.0096563205442407E-003,0.10395203353502068,0.10395203353502069,0.10042016074113126,0.10042016074113126,9.6924018713599444E-002,9.6924018713599444E-002,9.4744867462938948E-002,9.4744867462938975E-002,0.35239643218519440,1569.1494056935342,6155.0410717693021,98.063339077402617
4,2015-01-04T00:00:00.000,1,3,452500.000,202500.000,riv,18.690639218079784,5.6544375641072543E-002,5.7489848093424958E-004,6.0788032141293552E-002,6.0788032141293552E-002,5.9395692906413576E-002,5.9395692906413583E-002,5.5715867216356206E-002,5.5715867216356213E-002,5.0277910300226818E-002,5.0245198845050916E-002,2.2271855083389571,8263.7041367699203,32511.199521185401,98.355409722398363
4,2015-01-04T00:00:00.000,2,3,457500.000,202500.000,riv,5.1172367603545217,7.4744182236114481E-002,7.6233445983246381E-004,8.2518098765626866E-002,8.2518098765626866E-002,7.8195409687960127E-002,7.8195409687960127E-002,7.1773316551709598E-002,7.1773316551709598E-002,6.6489903939161321E-002,6.6489903939161321E-002,0.33411480258840953,1711.5836716791189,6712.5874927379291,98.046443096040548
4,2015-01-04T00:00:00.000,3,3,462500.000,202500.000,riv,21.545222888928784,5.7667400483297639E-002,5.8674955636483096E-004,6.2222949230886317E-002,6.2222949230886310E-002,6.0429864233394533E-002,6.0429864233394533E-002,5.6512112382784849E-002,5.6512112382784835E-002,5.1504676086124829E-002,5.1468150261985077E-002,2.3152073236189947,9340.2958993887114,36719.623654103503,98.282819062654724
